Sub Topic,Title,Description,Explanation,Tags,Answer,Option,Level,Destination,correct options,mark,nMark,category
CRD BE 1,Assessment,How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,Not Available,CRD BE,single,"3.5 years,4 years,4.5 years,5 years",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,A sum of money amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is:,Not Available,CRD BE,single,"5%,8%,12%,15%",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,The compound interest on a certain sum for 2 years at 10% per annum is Rs. 525. The simple interest on the same sum for double the time at half the rate percent per annum is:,Not Available,CRD BE,single,"Rs. 400,Rs. 500,Rs. 600,Rs. 800",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,A man travelled 30% of his journey at a speed of 85 kmph and the rest of his journey at a speed of 33 kmph. Find his average speed throughout the journey.,Not Available,CRD BE,single,"48.6 kmph,46.6 kmph,42.6 kmph,44.6 kmph",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,The speed of a boat upstream is 20 kmph. Find the speed of the boat downstream if the speed of the stream is 3 kmph.,Not Available,CRD BE,single,"26 kmph,25 kmph,23 kmph,22 kmph",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,The purchase price of an article is 20% less than the profit made. Find the profit if the selling price is 360 rupees.,Not Available,CRD BE,single,"180 rupees,240 rupees,160 rupees,200 rupees",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"A mixture contains milk and water in the ratio 5 : 9. When 5 liters of water is added, the ratio changes to 5 : 11. Find the quantity of milk in the initial mixture.",Not Available,CRD BE,single,"15 liters,12.5 liters,17 liters,10.5 liters",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"Three pipes A, B and C can fill a tank in 50 minutes, 120 minutes, and 60 minutes, respectively. If all the pipes are opened together, how much time is required to fill 27% of the tank?",Not Available,CRD BE,single,"10 minutes,2 minutes,4 minutes,6 minutes",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"When my parents married, their ages were in the ratio 11 : 10 (father's age : mother's age). This year they celebrated their 15th anniversary. If the total of their ages at their silver jubilee anniversary will be 113 years, find my father's age now.",Not Available,CRD BE,single,"40 years,33 years,48 years,42 years",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"On what dates of April, 2001 did Wednesday fall?",Not Available,CRD BE,single,"1st.8th.15th.22nd.29th, 2nd.9th.16th.23rd.30th, 3rd.10th.17th.24th, 4th.11th.18th.25th",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"On 8th Feb, 2005 it was Tuesday. What was the day of the week on 8th Feb, 2004?",Not Available,CRD BE,single,"Tuesday,Monday,Sunday,Wednesday",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"A bag contains 10 red cards and some yellow cards. If the probability of getting a yellow card is thrice the probability of getting a red card, then what is the number of yellow cards?",Not Available,CRD BE,single,"15,30,20,25",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"If x+y=21 and xy=110, find the value of x^2 + y^2.",Not Available,CRD BE,single,"221, 241,  331, 321",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,The cost price of an article is 1.56 times the selling price. Find the loss percentage.,Not Available,CRD BE,single,"37.8%,35.9%,39.5%,34.5%",0.3,mock,1,1,0,CRD
